Upstream Regulators,8_vs_0,72_vs_8,120_vs_72,128_vs_120,144_vs_128,168_vs_144
FOSL2,N/A,-1.616,N/A,1.477,1.057,N/A
POLR3G,N/A,-0.447,-1.937,N/A,0.13,1.633
artepillin C,N/A,-1.963,N/A,N/A,2.183,N/A
mir-143,N/A,-0.765,0.956,-0.235,2.19,N/A
ARID3A,N/A,-0.775,-0.655,N/A,N/A,2.714
trichostatin A,0.912,0.166,-1.009,0.534,0.006,1.516
TNFAIP3,1.18,N/A,0.513,-2.449,N/A,N/A
taurocholic acid,-1.941,-2.199,N/A,N/A,N/A,N/A
TRAPPC1,N/A,-2.864,-1.272,N/A,N/A,N/A
MTF1,N/A,-1.081,N/A,1.053,-1.99,N/A
mir-182,N/A,1.967,-0.841,1.316,N/A,N/A
TXNRD1,N/A,N/A,1.976,N/A,0.478,-1.664
lactacystin,0.162,-0.627,0.59,0.97,0.354,1.413
leuprolide,0.313,0.555,-0.475,-0.422,-0.939,1.412
GABARAP,N/A,N/A,-1.667,N/A,N/A,-2.449
IGFBP7,-0.577,1.067,0.895,-0.577,1,N/A
GABARAPL2,N/A,N/A,-1.667,N/A,N/A,-2.449
mir-183,N/A,1.045,0.323,0.471,1.043,1.23
UCHL1,N/A,-1.113,-0.594,0.707,-1.195,0.498
ABCG1,N/A,N/A,2.124,-1.982,N/A,N/A
AZ-1,N/A,0.577,-0.754,-1.566,N/A,-1.204
COX4I1,N/A,N/A,2.137,N/A,1.964,N/A
trientine,N/A,1.98,0.132,-1.987,N/A,N/A
TGS1,N/A,1.117,N/A,0.128,-2,0.853
dexamethasone phosphate,-1,0.478,0.718,-0.896,-1,N/A
POM121/POM121C,N/A,-0.663,-2.254,N/A,N/A,1.172
PDPK1,-0.561,-1.033,-1.306,0.056,-1.131,N/A
MK2206,N/A,0.16,-0.308,-1.091,0.859,1.669
HHEX,N/A,-0.268,N/A,2.189,N/A,-1.628
17-alpha-ethinylestradiol,1.477,N/A,-1.391,0.128,1.078,N/A
MECP2,N/A,-1.283,1.751,-0.419,N/A,-0.621
SB 290157,N/A,-2.219,0.853,1,N/A,N/A
JINK1/2,N/A,N/A,0.913,N/A,-1,-2.157
BLM,N/A,0.277,1.5,N/A,1.912,-0.378
CYP1A2,N/A,-1.897,-0.277,N/A,1.89,N/A
mir-142 (includes others),N/A,N/A,2.18,N/A,1.82,0.059
ACE2,1.387,1.178,0.249,-1.195,-0.049,N/A
BMP15,N/A,-1.827,N/A,2.229,N/A,N/A
TCF,-1.033,0.372,1.245,1.033,-0.372,N/A
CRP,N/A,N/A,0.148,1.953,-1.952,N/A
CLCF1,N/A,N/A,-4.052,N/A,N/A,N/A
SIRT2,N/A,2.132,-0.333,N/A,-1.134,0.447
NR4A2,-1.192,N/A,N/A,0.451,-0.174,-2.228
RIPK1,0.346,-1.857,N/A,0.13,N/A,-1.709
mir-34 (includes others),0.832,-0.277,1.083,-1.069,0.012,-0.766
benzene,N/A,1.606,1.087,-1.342,N/A,N/A
EDN3,N/A,-1.698,0.647,N/A,1.131,-0.555
GABA,N/A,0.915,-0.328,-1.162,N/A,1.625
withaferin A,1.117,0.42,-0.636,-0.714,N/A,1.142
SIN3A,1,1.395,0,-1.633,N/A,N/A
32-134D,N/A,2.045,N/A,-1.981,N/A,N/A
thyroid hormone,-0.415,1.435,1.165,N/A,-0.579,0.426
miR-197-3p (and other miRNAs w/seed UCACCAC),N/A,1.086,1.906,N/A,0.775,-0.247
carbonyl cyanide m-chlorophenyl hydrazone,-1.342,0.362,0.696,0.447,-0.378,-0.788
isotretinoin,1.941,0.563,N/A,-0.58,0.923,N/A
heparin,-0.747,1.025,1.127,0.545,-0.562,N/A
CYP27B1,N/A,2,N/A,-2,N/A,N/A
SOD,N/A,N/A,2,N/A,N/A,-2
bufalin,N/A,1.309,0.361,-1.701,-0.625,N/A
SPZ1,N/A,N/A,-1.775,1.989,N/A,0.228
nickel chloride,N/A,N/A,0.313,2.153,-1.136,-0.387
MI-503,N/A,1.342,0.513,-1.982,N/A,-0.152
DNM3OS,N/A,N/A,-1.987,N/A,N/A,2
mir-21 (includes others),0.294,0.2,1.796,-0.577,0.009,-1.11
SMAD2/3/SMAD4,-0.934,N/A,N/A,1.591,-1.461,N/A
bis(4-hydroxyphenyl)sulfone,N/A,1.473,0.568,N/A,-1.945,N/A
rolipram,1,0.339,-0.488,-0.493,1.664,N/A
HERC2,N/A,2,1.982,N/A,N/A,N/A
HOXB13,N/A,N/A,-1.897,N/A,-1.633,0.447
IFNAR2,N/A,N/A,0.086,N/A,1.89,2
HFE,-0.707,N/A,N/A,0.707,-0.905,-1.648
FZD7,N/A,-1.982,N/A,1.982,N/A,N/A
retinol,N/A,N/A,N/A,1.982,N/A,-1.982
acteoside,N/A,N/A,0.639,-1.029,1.364,0.93
oblimersen,N/A,0,2.573,1.387,N/A,0
hexarelin,N/A,0.968,1.948,N/A,0.094,-0.946
IL1R,N/A,-2.249,N/A,1.706,N/A,N/A
mir-22 (includes others),0.655,N/A,0.021,-1.342,1.937,N/A
PF4,-0.808,N/A,N/A,1.834,0.524,0.786
pentoxifylline,1.172,N/A,N/A,-0.825,N/A,1.953
mannitol,N/A,-0.511,1.254,N/A,N/A,-2.18
GSR,N/A,N/A,2.309,N/A,0,-1.633
CEBPA,-0.609,0.738,0.483,0.213,-1.767,-0.132
sodium tungstate,N/A,-2.433,-1.508,N/A,N/A,N/A
GNA12,N/A,-2.322,0.656,N/A,0,-0.962
"N-[(2Z)-3-(4,5-dihydro-1,3-thiazol-2-yl)-1,3-thiazolidin-2-yl idene]-5H dibenzo[a,d][7]annulen-5-amine",0.152,-0.36,-0.087,-0.923,1.969,0.444
TET3,N/A,-0.438,-0.416,-1,-1.153,-0.926
zinc protoporphyrin IX,N/A,1.941,N/A,N/A,-1.206,0.785
WT1,-0.66,-0.056,0.431,0.964,-1.311,-0.51
FZD8,N/A,-1.937,-0.713,N/A,0.703,0.576
asbestos,N/A,N/A,1.964,1.964,N/A,N/A
STK26,-1,0.707,0.5,0,-1.342,0.378
CAVIN1,N/A,-1.387,-1.539,N/A,N/A,1
BACH1,N/A,N/A,-1.996,N/A,1.314,0.614
ATG5,N/A,0.407,-0.317,1.134,-1.278,-0.786
SPRYD7,N/A,1.451,0.468,N/A,N/A,-2
CYP7A1,N/A,2.804,N/A,N/A,-1.109,N/A
EIF2S1,N/A,N/A,1.912,N/A,N/A,-2
FOSB,-1.516,N/A,0.793,1.601,0,N/A
CIITA,N/A,N/A,N/A,-1.98,N/A,1.927
UTP,N/A,-1.952,N/A,1.952,N/A,N/A
abemaciclib,N/A,-0.076,-1.197,N/A,-1.437,1.192
PD184352,1.225,-0.199,-1.247,N/A,N/A,1.231
A-769662,N/A,0.99,-0.084,-1.941,0.64,-0.243
SCARB1,N/A,-2.449,N/A,1,0.447,N/A
PDLIM2,-1.408,-0.131,0.712,-1.437,-0.113,0.093
LTA,N/A,-1.912,N/A,1.982,N/A,N/A
"fluoromethyl 2,2-difluoro-1-(trifluoromethyl)vinyl ether",N/A,-1.912,N/A,1.982,N/A,N/A
nitroarginine,N/A,N/A,1.464,N/A,-2.429,N/A
NPPB,N/A,-0.632,0.336,-0.765,2.158,N/A
sea cucumber body wall meal,N/A,-1.89,N/A,N/A,2,N/A
"3,3'-diindolylmethane",0.509,N/A,1.394,-0.684,0.193,1.109
NREP,-0.156,-1.387,-0.421,-0.092,1.362,0.463
methyl-beta-cyclodextrin,N/A,N/A,N/A,-0.762,-2.219,-0.896
CD1,N/A,1.414,N/A,N/A,-2.449,N/A
VGLL3,N/A,0.062,-1.852,1.348,-0.6,0
Brd4,N/A,N/A,-0.854,1.724,0.218,1.066
MAPK10,N/A,-2.191,1.671,N/A,N/A,N/A
WWTR1-CAMTA1,N/A,-0.447,1.414,2,N/A,N/A
3-deoxy-2-octulosonic acid(2)-lipid A,N/A,-1.89,0.333,N/A,1.633,N/A
ZFAS1,N/A,1,-2,N/A,N/A,-0.854
NOTCH2,N/A,N/A,-2.324,1.528,N/A,N/A
CSNK2A1,N/A,-1.026,-0.287,1.492,0.853,0.194
methyl methanesulfonate,-0.811,-1.38,0.841,N/A,N/A,-0.816
mir-379 (includes others),N/A,2.401,N/A,N/A,-0.805,0.64
pCPT-cAMP,N/A,0.492,1.364,1.987,N/A,N/A
LYN,0.808,-2.072,N/A,0.963,N/A,N/A
miR-210-3p (miRNAs w/seed UGUGCGU),N/A,2.219,0.12,N/A,0.651,-0.849
MTA3,N/A,1.963,N/A,N/A,0.68,1.192
atractylon,N/A,N/A,1.597,N/A,2.236,N/A
NKX2-5,N/A,N/A,1.832,N/A,N/A,-2
CCL20,N/A,-2.2,-1.629,N/A,N/A,N/A
n-3 fatty acids,N/A,-1.1,-0.434,0.203,1.344,0.745
15(S)-HETE,-1.163,-0.602,0.247,1.163,-0.647,N/A
PTPN11,-0.908,0.097,0.801,-0.412,0.736,-0.864
DDR2,N/A,-1.744,-1.98,N/A,N/A,-0.092
lonafarnib,2,N/A,-0.816,N/A,N/A,1
GSK2816126,N/A,-0.203,1.201,N/A,N/A,-2.412
HOXD10,N/A,-0.604,1.763,0.447,N/A,-1
MMP2,-0.927,0.862,-0.065,0.525,N/A,-1.432
ADCY,N/A,-1.982,-0.128,1.698,N/A,N/A
Z-LLL-CHO,-0.347,-0.342,0.892,0.953,-1.045,-0.228
EFNA1,1.294,0.845,-0.475,1.188,N/A,N/A
ACLY,N/A,-1.351,2.2,N/A,-0.248,N/A
PRMT1,-1.394,N/A,-0.35,2.049,N/A,N/A
MAK683,N/A,-1.819,N/A,N/A,0.87,-1.103
PF543,N/A,N/A,1.113,-2.449,N/A,-0.227
EIF2AK4,N/A,-2.314,0.497,N/A,0.473,0.503
LY6E,0,-0.277,1.51,N/A,N/A,-2
methylnitronitrosoguanidine,-1.471,-0.865,0.743,N/A,N/A,-0.705
ARID4B,N/A,-2.121,-1.656,N/A,N/A,N/A
HNF1A,N/A,-1.777,N/A,N/A,-1.997,N/A
laduviglusib,N/A,-2.065,0.573,0.325,0.81,N/A
HIBCH,2,N/A,0.18,N/A,0.816,0.775
XAV939,N/A,1.4,0.454,-0.2,N/A,-1.715
2-aminopurine,N/A,N/A,-1.697,N/A,-1.265,-0.806
ST6GAL1,N/A,-1.48,-2.135,N/A,-0.152,N/A
diosgenin,0,0.816,0.183,-0.555,-2.213,N/A
semaxinib,-1.988,-0.092,-0.35,-0.494,0.842,N/A
miR-205-5p (and other miRNAs w/seed CCUUCAU),N/A,N/A,-0.138,N/A,0.861,2.765
NR0B1,N/A,-1.965,N/A,N/A,N/A,1.796
mir-455 (includes others),N/A,N/A,1.78,-1.98,N/A,N/A
HOXA3,N/A,-1.221,-1.905,-0.152,N/A,0.478
tacrolimus,0.579,-0.331,-1.074,-0.73,0.04,-0.999
dimethyl fumarate,N/A,0.799,0.741,-1.723,0.335,0.155
CREBZF,N/A,N/A,N/A,N/A,1.319,2.424
acetate,N/A,0.411,N/A,0,-1.205,-2.121
ORAI1,N/A,N/A,-0.435,2.412,-0.707,-0.181
TCF12,N/A,N/A,-1.373,1.573,0.752,-0.037
GAS6,-1.755,N/A,N/A,1.976,N/A,N/A
HSD11B1,N/A,2.219,-0.956,N/A,-0.555,N/A
chenodeoxycholic acid,-1.984,-0.327,N/A,N/A,-1.417,N/A
batimastat,N/A,N/A,-2,-1.125,0.321,0.277
CSHL1,-1.965,N/A,N/A,1.757,N/A,N/A
TSH,-1.651,-0.669,N/A,1.329,0.069,N/A
(R)-3-hydroxybutyric acid,N/A,-2.449,N/A,N/A,N/A,1.265
BMI1,N/A,N/A,-0.867,0.108,1.934,0.801
PCDH10,N/A,1.89,1,0,-0.816,N/A
MCC950,N/A,N/A,N/A,-1.499,N/A,2.205
secondhand smoke,N/A,N/A,-1.76,N/A,N/A,1.944
FGF1,0.447,1.244,-0.209,0.712,-1.054,-0.033
MMP3,N/A,-2.554,-0.243,N/A,N/A,-0.902
doxycycline,0,N/A,2.301,-0.723,0.674,N/A
IL12 (family),-0.672,N/A,N/A,2.155,0.861,N/A
kawain,N/A,1.706,N/A,N/A,N/A,1.982
alpha-tocopherol,N/A,N/A,1.71,N/A,0.025,-1.951
cyanocobalamin,N/A,-1.575,N/A,1.4,0.447,-0.263
Cux1,N/A,-1.633,0.707,N/A,N/A,-1.342
Sn50 peptide,1.446,N/A,N/A,-1.317,0.915,N/A
lycopene,1,1.342,-0.333,N/A,1,0
AGPAT2,N/A,-1.309,2.36,N/A,N/A,N/A
KHDRBS1,N/A,N/A,1.945,1.723,N/A,N/A
ceapin-A7,N/A,1.667,N/A,N/A,N/A,2
miR-18a-5p (and other miRNAs w/seed AAGGUGC),1.067,1.076,N/A,-1.131,N/A,0.391
NPC1,N/A,0.35,1.064,N/A,1.761,-0.48
PRMT5,-0.666,-0.501,-0.031,0.638,0.788,1.031
COLQ,N/A,-0.494,-1.738,-0.389,0.607,0.426
ZAP70,N/A,-2.08,-1.571,N/A,N/A,N/A
LPL,N/A,N/A,-0.523,-1.432,0.655,1.039
vemurafenib,-1.236,N/A,1.503,N/A,-0.907,N/A
IKZF4,N/A,N/A,-0.954,2,0.692,N/A
ADAMTS18,N/A,-2.213,N/A,N/A,0,-1.432
MAX,-0.152,2.138,-0.088,0.707,0.113,-0.447
dithiothreitol,N/A,-1.671,N/A,N/A,N/A,-1.969
CHD8,N/A,-1.425,0.751,N/A,0.788,-0.671
emactuzumab,N/A,N/A,1.633,N/A,2,N/A
TAF4B,N/A,N/A,1.633,2,N/A,N/A
TRRAP,N/A,-0.254,-2.178,N/A,N/A,1.196
CAPN6,0.447,-0.655,-1.257,0.707,-0.302,-0.258
glucocorticoid,-0.786,N/A,N/A,-1.267,-1.571,N/A
SERPINB7,1.732,N/A,N/A,-1.89,N/A,N/A
2-deoxyglucose,0.755,N/A,-0.123,0.147,-1.27,-1.324
C9orf72,N/A,1.937,0.863,N/A,N/A,-0.816
zoledronic acid,0.97,0.549,-0.48,-0.808,0.808,N/A
ACSL4,N/A,0.514,0.852,0.734,-1.51,N/A
XDH,0.277,-0.813,-1.173,0.027,-1.026,-0.294
ADORA2A,0.896,-0.235,0.639,1.23,N/A,-0.61
ROCK2,N/A,N/A,-2.178,1.432,N/A,N/A
HOXA5,-0.806,N/A,-0.029,-0.537,0.059,2.178
CIDEC,N/A,0.865,N/A,-0.903,-1.546,0.289
MBOAT7,N/A,-2.213,1.387,N/A,N/A,N/A
IL12B,-2.213,N/A,N/A,1.387,N/A,N/A
VCAN,0,-1.226,-0.913,-0.6,0.143,0.714
Rbx1,-1,N/A,-1.886,N/A,N/A,0.707
N-CoR,N/A,-1.463,0.162,N/A,1.964,N/A
SIS3,N/A,-0.18,2.813,-0.594,N/A,N/A
calpain,N/A,-1.406,N/A,N/A,N/A,-2.176
ANGPT1,N/A,N/A,-1.091,2.213,-0.277,N/A
VEGFB,N/A,N/A,1.166,N/A,N/A,-2.413
HOXA9,N/A,-0.986,-0.982,N/A,-0.146,-1.463
bezafibrate,0.818,0.343,0.862,-0.853,N/A,-0.7
CIC,N/A,2.574,N/A,N/A,-1,N/A
sulindac sulfide,-0.701,-0.392,1.238,-0.622,-0.59,0.028
cadmium chloride,0,1.069,-0.637,-0.816,-0.063,0.985
MEX3A,N/A,-1.732,-0.359,1,N/A,0.478
DGCR8,N/A,-0.22,0.675,-0.266,-0.359,2.047
ezetimibe,N/A,1.807,N/A,N/A,-1.751,N/A
NQO1,-1.109,N/A,N/A,2.449,N/A,N/A
calcipotriene,-0.537,N/A,1.386,1.632,N/A,N/A
CGS 21680,0.928,0.049,-1.047,0.056,1.471,N/A
CSF1R,-1.154,N/A,N/A,1.741,-0.647,N/A
SUCNR1,N/A,-0.478,-1.077,N/A,N/A,1.982
CLU,-1.067,N/A,N/A,1.067,-1.253,0.15
IQGAP2,N/A,0.426,-1.066,N/A,-1.195,-0.849
APOA1,-0.152,0.923,-0.067,-0.468,1.069,0.853
RETN,N/A,N/A,-0.223,N/A,-2.156,-1.151
RELB,0.555,N/A,1.486,1.229,0.25,N/A
LDB1,0.632,0.085,-0.665,0.775,-0.73,0.632
MTORC1,N/A,N/A,N/A,1.154,-2.362,N/A
EFNA5,0.707,0.591,-0.277,0.707,-0.096,-1.134
adavosertib,N/A,N/A,-0.174,1.551,1.029,-0.756
phenylephrine,N/A,-0.463,0.285,1.293,-1.041,0.424
GHR,1,0.923,0.577,-1,N/A,N/A
NEUROG1,2,0.5,N/A,-1,0,N/A
progesterone,-0.81,-0.123,0.588,0.583,-0.845,-0.55
NCGC00186528,N/A,N/A,1.516,-1.981,N/A,N/A
CD276,N/A,-0.113,-0.542,-0.816,-1.172,-0.853
BAHCC1,N/A,-0.707,-2.333,-0.447,N/A,N/A
"8-bromoguanosine 3',5'-cyclic monophosphate",-0.762,N/A,0.521,N/A,-1.109,-1.095
LATS1,0,0.786,1.437,-0.447,-0.816,N/A
PAX3,N/A,N/A,-0.268,1.004,N/A,-2.213
CDX2,N/A,N/A,N/A,-1.981,1.501,N/A
crizotinib,N/A,1.429,1.029,-1.016,N/A,N/A
chloropromazine,N/A,N/A,0.35,-1.154,-1.964,N/A
miR-186-5p (miRNAs w/seed AAAGAAU),N/A,N/A,2.841,N/A,N/A,-0.626
miR-144-3p (miRNAs w/seed ACAGUAU),N/A,1.757,1.702,N/A,N/A,N/A
IRF8,-1.394,N/A,-0.259,-0.579,-1.061,0.159
warburgia ugandensis dimethyl carbonate extract,N/A,0.447,-1,N/A,N/A,2
ERN1,N/A,-1.467,-0.207,N/A,N/A,-1.773
BID,N/A,-0.816,-2.63,N/A,N/A,N/A
TMSB4,N/A,-2.2,0.152,N/A,N/A,-1.091
CMTM3,N/A,-0.243,1.275,1,N/A,-0.923
NSC23766,N/A,N/A,N/A,-2.195,N/A,1.246
LTBR,N/A,N/A,N/A,2.236,0.816,0.378
UBA1,N/A,1.093,-0.333,-1,-0.447,-0.557
E2F8,N/A,N/A,1.369,-0.689,N/A,-1.369
mir-146 (includes others),0.363,0.658,0.056,-0.522,1.414,-0.412
mibolerone,N/A,-1.037,-0.769,-0.87,0.254,-0.487
3-deazaneplanocin,-1.109,-0.371,0.121,0.208,-1.608,N/A
CFI-402257,N/A,-2.138,-1.278,N/A,N/A,N/A
LUCAT1,N/A,N/A,-0.537,2.19,-0.689,N/A
WNT11,N/A,1.98,N/A,N/A,N/A,-1.432
CTNNB1/TCF,N/A,-1.432,N/A,1.98,N/A,N/A
PLX5622,0.095,0.788,1.206,-1.322,N/A,N/A
LMO2,0.302,0.19,-0.524,0.585,-0.539,1.264
POLR2M,N/A,-1.673,0.659,-1.067,N/A,N/A
TRAIP,N/A,N/A,0.021,0.247,-2.408,-0.721
CDKN2B,N/A,N/A,2.688,N/A,N/A,-0.707
latrunculin B,N/A,1.254,0.104,-1.067,N/A,-0.97
calyculin A,N/A,0.707,N/A,1.342,-1.342,N/A
CDH2,N/A,N/A,-0.832,1.133,N/A,-1.423
miR-142-3p (and other miRNAs w/seed GUAGUGU),N/A,N/A,N/A,-2,N/A,1.387
SOST,N/A,0.676,0.773,0.882,-1.054,N/A
EGLN1,-0.391,-1.094,0.376,0.278,1.237,N/A
CRTC3,N/A,1.188,2.183,N/A,N/A,N/A
OAT,N/A,-2.236,-1.134,N/A,N/A,N/A
ceralasertib,N/A,N/A,1.387,N/A,N/A,-1.982
laminaran,N/A,N/A,N/A,1.982,-1.387,N/A
BPIFB1,N/A,N/A,-0.22,N/A,0.714,2.433
SNCA,0.282,-0.445,0.965,-0.855,0.575,-0.245
estradiol-17beta-benzoate,-1,1.288,N/A,0.18,0.898,N/A
CRH,-1.98,N/A,N/A,1.386,N/A,N/A
ETV4,N/A,N/A,0.655,1.126,N/A,-1.581
GSN,N/A,N/A,-1.861,1.491,N/A,N/A
fluocinolone acetonide,N/A,-1.155,1.414,-0.447,0,-0.333
DNMT3A,0,-1.676,-0.233,-0.223,-1.05,0.164
acrolein,N/A,N/A,2.158,N/A,-1.185,N/A
SMAD5,0.689,0,-2.01,0.503,0.14,N/A
BTC,N/A,0,N/A,2,-1.342,N/A
NQO2,-2,N/A,1.342,N/A,N/A,N/A
CASP3,N/A,N/A,-1.889,N/A,-1.452,N/A
S-nitrosoglutathione,N/A,-1.963,0.946,-0.43,N/A,N/A
vanillin,N/A,N/A,-1.387,N/A,0.816,1.134
ferrostatin-1,N/A,-0.784,-1.461,N/A,N/A,1.091
KAT5,0.113,-1.474,1.506,N/A,N/A,0.243
DYRK1B,N/A,N/A,-3.336,N/A,N/A,N/A
TCF7,N/A,N/A,0.49,-0.651,2.194,N/A
grape seed extract,N/A,2.396,0.939,N/A,N/A,N/A
TINCR,N/A,N/A,-1.935,-1.285,-0.115,N/A
PD 169316,N/A,N/A,1.151,-1.091,N/A,1.091
Z36,N/A,N/A,N/A,1,0,-2.333
CNR2,-0.447,-0.816,1.066,-0.555,0.447,N/A
PPP3CA,N/A,-1.352,N/A,1.977,N/A,N/A
CRTC2,N/A,0.184,2.041,N/A,-1.103,N/A
N-methyl-D-aspartate,N/A,-0.28,2.394,0.653,N/A,N/A
FMR1,N/A,0.462,-0.75,N/A,2.114,N/A
glycodeoxycholic acid,-1,-2.324,N/A,N/A,N/A,N/A
glycocholic acid,-1,-2.324,N/A,N/A,N/A,N/A
glycochenodeoxycholate,-1,-2.324,N/A,N/A,N/A,N/A
BCR-ABL1,N/A,N/A,-0.859,0.438,-1.31,0.716
PPARA:RXRA Coactivator,N/A,-0.091,N/A,0.905,0.378,-1.949
EHD1,N/A,-1.392,0.485,N/A,N/A,-1.445
CLOCK,N/A,0.015,1.604,-0.707,-0.775,-0.219
PCMT1,N/A,0.905,N/A,-1,N/A,1.414
CLPB,N/A,N/A,-3.317,N/A,N/A,N/A
MGA,N/A,0.466,0.632,N/A,N/A,2.219
zinc,N/A,0.158,N/A,-1.325,N/A,1.832
GRIN3A,N/A,N/A,-1.339,-1.673,0.302,N/A
phenobarbital,0.068,N/A,-3.238,N/A,N/A,N/A
IRF6,N/A,-1.803,N/A,1.501,N/A,N/A
FOXO4,-0.15,1.077,0.296,-0.795,-0.985,N/A
PIK3C3,N/A,0.69,N/A,N/A,-0.025,-2.586
SIM1,N/A,-0.354,0.143,2.111,-0.688,N/A
PIK3CA,-0.963,-0.333,0.888,0.711,-0.397,0
A2M,N/A,N/A,0.603,N/A,-0.532,-2.157
apomorphine,-0.934,N/A,0.77,1.109,N/A,0.478
trichloroethylene,N/A,1.342,0.6,-1.342,N/A,N/A
dapagliflozin,N/A,2,0.773,N/A,-0.068,-0.44
KLF10,-0.106,0.346,1.499,-0.469,-0.83,0.025
WNT,N/A,0.842,N/A,N/A,-2.433,N/A
NFIX,N/A,2.449,-0.378,N/A,N/A,-0.447
ILF3,N/A,-0.615,0.977,-1.5,-0.181,N/A
PRDM2,N/A,1.183,1.508,-0.577,N/A,N/A
tetracycline,-1.387,1.437,0.108,N/A,N/A,0.335
ZFP91,N/A,0.816,2.449,N/A,N/A,N/A
IL17F,N/A,N/A,N/A,1.134,-2.121,N/A
FDX1,N/A,1.294,1.961,N/A,0,N/A
NLRX1,0.378,0.192,0.357,0.632,-0.64,-1.05
GCN2iB,N/A,-0.905,-0.323,N/A,0.157,1.864
WNT4,0.339,-2.245,0.131,-0.317,0.128,-0.087
TAS1R3,N/A,2.219,1.026,N/A,N/A,N/A
S-adenosylmethionine,0.106,N/A,0.74,0.651,-0.513,1.23
GPR151,N/A,-1.342,-1.897,N/A,N/A,N/A
IGF2BP2,N/A,-0.796,-1.38,N/A,-0.689,0.371
BARX2,N/A,0.297,0.295,1.387,N/A,1.253
alefacept,N/A,N/A,-1,N/A,N/A,2.228
methotrexate,1,-0.237,-0.225,-0.915,0.355,0.487
MOGAT1,N/A,-1,2.219,N/A,N/A,N/A
KMT2A,-0.342,0.85,-0.34,-0.162,0.577,-0.948
phenyl-N-tert-butylnitrone,N/A,N/A,N/A,-1.987,N/A,1.225
entolimod,N/A,N/A,2.02,N/A,-1.192,N/A
TGFBR2,0.409,-0.317,0.456,-0.778,1.182,-0.07
TNFRSF1A,0.461,N/A,1.099,0.464,-0.044,-1.143
FLT1,N/A,0.943,0.557,-1.134,0,0.577
DMD,N/A,1.421,0.374,N/A,N/A,-1.414
SAV1,N/A,-0.128,0.094,-1.633,0,1.342
obeticholic acid,N/A,0.975,-0.092,-1.727,0.401,N/A
zinc pyrithione,N/A,N/A,N/A,0.762,-2.433,N/A
prednisolone,0.397,-0.52,-0.256,0.325,0.863,0.832
aldose reductase,N/A,-1.96,-1.23,N/A,N/A,N/A
THZ531,N/A,0.322,1.305,0.788,-0.775,N/A
EFNA3,1.633,1.554,N/A,0,N/A,N/A
BAPTA-AM,-0.378,0.578,-0.622,-1.23,0.378,N/A
mir-199 (includes others),N/A,N/A,2.054,N/A,N/A,1.131
IL11,-0.293,N/A,-0.39,1.257,1.238,N/A
plerixafor,N/A,N/A,N/A,-1,2.177,N/A
EPCAM,0.13,0.198,-0.242,-1.026,0.933,-0.648
KEAP1,N/A,N/A,-0.55,1.342,-0.114,-1.168
CD274,-0.677,N/A,-1.026,1.06,N/A,0.411
vincristine,-0.156,1.23,-0.1,-0.547,-0.594,0.547
mir-204 (includes others),N/A,0.049,0,-1.969,1.153,N/A
POLDIP2,N/A,1.973,1.196,N/A,N/A,N/A
UCN-01,N/A,1.276,0.658,-0.789,N/A,0.44
alvocidib,N/A,N/A,0.539,-1.974,N/A,0.65
Pam3-Cys,N/A,N/A,-1.312,1.85,N/A,N/A
Nppb,N/A,N/A,-3.162,N/A,N/A,N/A
WAKMAR1,N/A,-1.947,-1.213,N/A,N/A,N/A
andrographolide,N/A,N/A,N/A,-1.977,1.183,N/A
FFAR1,N/A,N/A,N/A,0.152,1.664,1.342
METTL4,N/A,-1.342,-0.816,N/A,N/A,-1
miR-122-5p (miRNAs w/seed GGAGUGU),N/A,-1.3,0.611,N/A,1.245,N/A
cannabidiol,N/A,N/A,-1.348,-1,N/A,0.808
OPA1,N/A,2.214,N/A,N/A,N/A,0.94
PITX2,N/A,0.789,1.856,N/A,0.156,0.353
IRF2,0.254,0.143,-2.078,0.156,-0.312,0.208
SYK,1.527,-1.187,0.019,0.174,0.243,N/A
tosedostat,N/A,-1.539,0.412,N/A,0.555,-0.64
pinometostat,N/A,0.196,-1.443,N/A,-1.172,-0.333
CX3CR1,N/A,1,0.211,N/A,-1.929,N/A
SLC2A1,N/A,N/A,N/A,2.219,-0.918,N/A
SOD1,0,N/A,1.134,N/A,-1,-1
PARP14,N/A,0.666,1.124,0.08,1.257,N/A
diclofenac,-0.151,-0.926,0.845,0.782,0.186,0.233
PRKN,N/A,-0.207,0.575,0.625,0.821,0.893
wogonin,N/A,1.98,-1.137,N/A,N/A,N/A
ursodeoxycholic acid,-0.243,N/A,-1.439,0.647,-0.544,-0.241
ZNF507,N/A,-0.618,-0.688,N/A,0.278,-1.526
DBI,N/A,1.109,N/A,N/A,-2,N/A
ST3-Hel2A-2,N/A,-0.447,1.639,N/A,-1.012,N/A
monocrotaline,N/A,1.033,N/A,-0.973,-1.091,N/A
CAT,-0.493,N/A,N/A,-1.37,N/A,-1.233
PHIP,N/A,N/A,1.099,N/A,N/A,-1.996
NF-Y,N/A,N/A,0.946,N/A,-0.496,-1.65
PSEN2,-0.811,-0.167,2.114,0,N/A,N/A
DCLK1,0.246,0.473,N/A,1,-1.372,N/A
PRNP,-0.301,0.784,-0.677,0.17,-0.844,0.306
AHCY,1,1.265,N/A,-0.816,0,N/A
gefitinib,0.387,0.157,0.073,-0.761,1.678,-0.024
ARG1,N/A,0.132,-0.73,N/A,N/A,-2.213
EHD2,N/A,1.89,1.18,N/A,N/A,N/A
